tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
A wczora z wieczora;6;Pieśni na Boże Narodzenie;4;D;0/0/0/0/0/0;"1.
A wczora z wieczora,
a wczora z wieczora, z niebieskiego dwora,
z niebieskiego dwora.
Przyszła nam nowina,
przyszła nam nowina, Panna rodzi Syna,
Panna rodzi Syna.
2.
Boga prawdziwego,
Boga prawdziwego, nieogarnionego,
nieogarnionego.
Za wyrokiem Boskim,
za wyrokiem Boskim, w Betlejem żydowskim,
w Betlejem żydowskim.
3.
Pastuszkowie mali,
pastuszkowie mali w polu wtenczas spali,
w polu wtenczas spali.
Gdy anioł z północy,
gdy anioł z północy światłość z nieba toczy,
światłość z nieba toczy,
4.
Chwałę oznajmując,
chwałę oznajmując, szopę pokazując,
szopę pokazując;
Chwałę Boga tego,
chwałę Boga tego, dziś nam zrodzonego,
dziś nam zrodzonego:
5.
„Tam Panna Dzieciątko,
tam Panna Dzieciątko, miłe Niemowlątko,
miłe Niemowlątko
Uwija w pieluszki,
uwija w pieluszki. Pośpieszcie pastuszki,
pośpieszcie pastuszki!”.
6.
Natychmiast pastuszy,
natychmiast pastuszy śpieszą z całej duszy,
śpieszą z całej duszy.
Weseli bez miary,
weseli bez miary niosą z sobą dary,
niosą z sobą dary."
Abba Ojcze;1;;5;B;0/0/1/0/1/0;"1.
Ty wyzwoliłeś nas Panie
Z kajdan i samych siebie
A Chrystus stając się bratem
Nauczył nas wołać do Ciebie:
*
Abba Ojcze!
Abba Ojcze!
Abba Ojcze!
Abba Ojcze!
2.
Bo Kościół jak drzewo życia
W wieczności zapuszcza korzenie
Przenika naszą codzienność
I pokazuje nam Ciebie
*
Abba Ojcze...
3.
Bóg hojnym Dawcą jest życia
On wyswobodził nas od śmierci
I przygarniając do siebie
Uczynił swoimi dziećmi.
*
Abba Ojcze...
4.
Wszyscy jesteśmy braćmi
Jesteśmy jedną rodziną.
Tej prawdy nic już nie zaćmi
I teraz jest jej godzina.
*
Abba Ojcze..."
Ach mój Jezu, jak Ty klęczysz;7;Pieśni na Wielki Post;11;a;1/0/0/0/0/0;"1.
Ach, mój Jezu, jak Ty klęczysz, * w Ogrojcu zakrwawiony!
Tam Cię anioł w smutku cieszył, * skąd był świat pocieszony.
*
Przyjdź, mój Jezu, przyjdź, mój Jezu, * przyjdź, mój Jezu, pociesz mnie,
bo Cię kocham serdecznie.
2.
Ach, mój Jezu, jakeś srodze * do słupa przywiązany,
za tak ciężkie grzechy nasze * okrutnie biczowany.
*
Przyjdź, mój Jezu…
3.
Ach, mój Jezu, co za boleść * cierpisz w ostrej koronie,
twarz najświętsza zakrwawiona, * głowa wszystka w krwi tonie.
*
Przyjdź, mój Jezu…
4.
Ach, mój Jezu, gdy wychodzisz * na Górę Kalwaryjską,
trzykroć pod ciężarem krzyża * upadasz bardzo ciężko.
*
Przyjdź, mój Jezu…"
Ach ubogi żłobie;6;Pieśni na Boże Narodzenie;9;E;0/0/0/0/0/0;"1.
Ach, ubogi żłobie, * cóż ja widzę w tobie?
= Droższy widok niż ma niebo, * w maleńkiej osobie.
2.
Zbawicielu drogi, * takżeś to ubogi!
= Opuściłeś śliczne niebo, * obrałeś barłogi.
3.
Czyżeś nie mógł sobie * w największej ozdobie
= obrać pałacu drogiego, * nie w tym leżeć żłobie?
4.
Gdy na świat przybywasz, * grzechy z niego zmywasz.
= A na zmycie naszych złości, * gorzkie łzy wylewasz.
5.
Na twarz upadamy, * czołem uderzamy,
= witając Cię w tej stajence * między bydlętami.
6.
Zmiłuj się nad nami, * obmyj z grzechów łzami.
= Przyjmij serca te skruszone, * które Ci składamy"
Adeste fideles;6;Pieśni na Boże Narodzenie;896;Es;0/0/0/0/0/0;"1.
Przybądźcie tu z wiarą i radością wielką,
przybądźcie, przybądźcie do Betlejem
Oto Dzieciątko z Bożą Rodzicielką!
*
Pokłońmy się Królowi,
Królowi anielskiemu,
dziś nam narodzonemu,
pokłońmy się.
2.
Pasterze przybiegli, zostawiwszy trzody,
pokornie przed żłóbkiem stanęli wraz
Śpieszmy za nimi, pośpieszcie, narody!
*
Pokłońmy się Królowi…
3.
Blask wiecznej światłości Ojca przedwiecznego,
w maleńkim Dzieciątku jawi się nam.
Boga uczcijmy w żłobie złożonego!
*
Pokłońmy się Królowi…
4.
Bóg dla nas leżący na ubogim sianie
tak słodko przemawia do naszych serc
Widząc tę miłość, któż zimnym zostanie?
*
Pokłońmy się Królowi…"
Alleluja, biją dzwony;8;Pieśni na Wielkanoc;20;G;1/0/0/0/0/0;
Anioł pasterzom;6;Pieśni na Boże Narodzenie;42;C;0/0/0/0/0/0;"1.
Anioł pasterzom mówił: * „Chrystus się wam narodził
w Betlejem, nie bardzo sławnym mieście, * narodził się w ubóstwie * Pan wszego stworzenia”.
2.
Chcąc się dowiedzieć tego * poselstwa wesołego,
bieżeli do Betlejem skwapliwie, * znaleźli Dziecię w żłobie, * Maryję z Józefem.
3.
Taki Pan chwały wielkiej * uniżył się Wysoki;
pałacu kosztownego żadnego * nie miał zbudowanego, * Pan wszego stworzenia!
4.
O, dziwne narodzenie, * nigdy nie wysłowione:
poczęła Panna Syna w czystości, * porodziła w całości * panieństwa swojego."
Archanioł Boży Gabryjel;5;Pieśni na Adwent;45;C;0/0/0/0/0/od 17 grudnia;"1.
Archanioł Boży Gabryjel,
posłan do Panny Maryi,
z majestatu Trójcy Świętej,
tak sprawował poselstwo k’Niej:
„Zdrowaś Panno, łaski pełna,
Pan jest z Tobą, to rzecz pewna”.
2.
Panna się wielce zdumiała
z poselstwa, które słyszała.
Pokorniuchno się skłoniła,
jako Panna świątobliwa;
zasmuciła się z tej mowy,
Nic nie rzekła aniołowi.
3.
Ale poseł z wysokości,
napełnion Boskiej mądrości,
rzekł Jej: „Nie bój się Maryjo,
najszczęśliwszaś, Panno miła;
znalazłaś łaskę u Pana,
oto poczniesz Jego Syna.
4.
Jezus nazwiesz imię Jego,
będzie Synem Najwyższego;
wielki z strony człowieczeństwa,
a niezmierny z strony Bóstwa,
wieczny Syn Ojca wiecznego,
Zbawiciel świata całego”.
5.
Temuż Panna uwierzyła,
przyzwalając tak mówiła:
„O, pośle Boga wiecznego,
gdy to wola Pana mego,
toć ja służebnica Jego,
stań się według słowa twego”.
6.
Bogu Ojcu Wszechmocnemu,
Synowi Jego miłemu
i Duchowi Najświętszemu,
Bogu w Trójcy jedynemu
dziękujmy w uniżoności
za ten cud Jego miłości."
Barka;1;;66;B;1/0/1/0/1/0;"1.
Pan kiedyś stanął nad brzegiem,
Szukał ludzi gotowych pójść za Nim;
By łowić serca Słów Bożych prawdą.
*
O Panie, to Ty na mnie spojrzałeś,
Twoje usta dziś wyrzekły me imię.
Swoją barkę pozostawiam na brzegu,
Razem z Tobą nowy zacznę dziś łów.
2.
Jestem ubogim człowiekiem,
Moim skarbem są ręce gotowe
Do pracy z Tobą i czyste serce.
*
O Panie, to Ty na mnie spojrzałeś…
3.
Ty, potrzebujesz mych dłoni,
Mego serca młodego zapałem
Mych kropli potu i samotności.
*
O Panie, to Ty na mnie spojrzałeś…
4.
Dziś wypłyniemy już razem
Łowić serca na morzach dusz ludzkich
Twej prawdy siecią i słowem życia.
*
O Panie, to Ty na mnie spojrzałeś…"
Bądź uwielbiony, miłosierny Boże;1;Pieśni przygodne;60;Es;0/1/0/1/0/0;"1.
Bądź uwielbiony, miłosierny Boże
Wszechmocny Stwórco, dobry nasz Panie
Cześć Ci oddajem w najgłębszej pokorze
W Bóstwa Twojego tonąc oceanie
2.
Bądź uwielbiony Ty, w Trójcy Jedyny
Tak niezgłębiony i niepojęty
Ty, co przebaczać umiesz wszystkie winy
Trzykroć wołamy: Święty, Święty, Święty
3.
Bądź uwielbiony, miłosierny Boże
Żeś zstąpić raczył z niebios na ziemię
Wielbimy Ciebie w najgłębszej pokorze
Żeś tak wywyższył całe ludzkie plemię
4.
Bądź uwielbiony w miłosierdzia dziele
Przez wszystkie serca Tobie zawsze wierne
Które Cię wielbią tu, w Twoim Kościele
A którym dałeś życie nieśmiertelne
5.
Bądź uwielbiony, Stwórco nasz i Panie
Przez wszechświat, który wielbi Cię w pokorze
Dziękujmy Stwórcy, ile sił nam stanie
I wysławiajmy Miłosierdzie Boże"
